cesaroni@gmail.com;123;family
ricci@gmail.com;123;family
rossi@gmail.com;123;family
conti@gmail.com;123;family
barbieri@gmail.com;123;family
styles@gmail.com;123;family
rodriguez@gmail.com;123;family
bernard@gmail.com;123;family
smith@gmail.com;123;family
miller@gmail.com;123;family
johnson@gmail.com;123;family
peters@gmail.com;123;family
agency@gmail.com;111;agency
saramalaspina@gmail.com;abc;student
silviaperelli@gmail.com;abc;student
steveharrington@gmail.com;abc;student
dustinhenderson@gmail.com;abc;student
mikewheeler@gmail.com;abc;student
joegoldberg@gmail.com;abc;student
rosewitt@gmail.com;abc;student
